study_hours,sleep_hours,attendance,previous_score,extra_classes,final_score
7,8,93,86,0,129.69314008535042
4,5,96,79,0,87.33176036870563
8,6,84,48,1,108.50614130749399
5,5,72,82,0,95.02282567659307
7,6,76,73,0,115.08188993813997
3,8,75,66,0,94.23199343594915
7,7,57,52,1,97.26417904550652
8,7,92,75,1,131.77815489405515
5,6,65,66,1,103.41557259996253
4,7,90,48,1,90.37203335963073
8,8,52,44,0,105.95966886215928
8,7,81,61,0,108.64329423665139
3,8,54,70,1,86.12739524832045
6,5,69,42,0,86.02936294292172
5,8,63,69,0,92.63104634428844
2,4,81,60,1,77.72669887897446
8,4,75,74,0,114.54717212025454
6,4,96,45,1,94.39609426108635
2,6,55,67,1,68.52491103512347
5,6,85,71,1,104.83659693924598
1,6,89,81,1,85.71853210473803
6,8,54,76,1,109.52635578647273
9,6,62,64,1,116.08094857913122
1,5,81,71,0,82.15700174083261
3,4,65,74,0,84.03766150396348
7,8,50,61,0,101.95122141829032
4,4,62,63,1,79.75451619931142
9,6,60,78,1,123.0199324794525
3,8,57,69,1,97.44225644680145
5,7,74,89,0,102.25675045681616
3,5,89,71,0,96.1986914586355
7,6,81,70,1,108.55324954399335
5,6,73,62,1,90.64014377475013
9,5,77,79,1,124.08100221677418
7,5,63,72,1,108.47955208064405
2,7,94,64,1,93.75875061986133
4,6,52,75,0,80.29118789613399
9,6,85,63,1,121.17270048627145
2,4,76,70,1,77.37222714258247
9,8,69,78,1,118.25538871964712
5,8,96,85,1,112.65631842233607
2,4,64,52,0,59.445498170220915
4,8,76,49,1,90.90797580176253
7,5,94,62,1,114.96106831534334
8,8,90,57,1,109.13396685062366
3,8,77,71,0,91.35980537104027
1,4,74,72,1,70.31650907114548
4,7,91,75,0,101.94542704507
2,8,93,67,1,89.28634709498127
8,8,95,55,1,111.7433549098836
4,7,82,55,1,95.09832257673787
2,4,95,57,1,77.06538697277452
6,7,63,47,1,89.8201802432365
6,4,57,81,1,89.50005456221811
